"","ID_Hogar","P9","Edad","P10","P12","P14","P1","P50","P82","P87","P90","P91","P92","P95","P96","P98","P100","P101"
"300",440150316,65,8,1,9,15,1,8,1,1,1,1,2,1,3,1,3,2
"301",440528420,40,5,1,5,11,1,6,2,1,2,1,2,2,1,1,2,3
"302",440569010,56,7,2,9,NA,1,9,1,1,1,1,2,2,2,1,1,2
"303",443470315,52,6,1,11,13,1,8,2,1,1,2,2,2,3,1,2,1
"304",437964885,29,4,1,9,9,1,8,2,1,1,1,1,2,3,1,3,1
"305",439643341,51,6,1,8,NA,2,7,1,1,1,1,1,1,2,2,1,1
"306",439680674,57,7,2,4,15,1,7,1,1,2,1,1,2,2,2,2,1
"307",438333404,26,4,1,9,11,1,7,2,1,1,1,1,1,3,2,1,1
"308",438524703,40,5,2,97,NA,2,6,1,1,1,2,2,2,2,1,2,1
"309",439221541,44,5,1,9,10,1,3,2,1,1,1,2,2,2,3,3,3
"310",439234492,34,4,1,9,15,1,5,2,1,3,1,2,2,1,1,3,1
"311",439643427,18,3,1,4,11,2,3,2,2,1,1,1,1,1,1,1,2
"312",438341727,42,5,1,11,11,1,9,1,1,2,1,1,2,3,1,3,1
"313",438599796,61,7,1,7,14,2,4,1,3,3,2,2,2,1,1,1,2
"314",438599806,63,7,1,7,NA,2,5,1,1,1,1,1,3,2,3,1,1
"315",438851741,53,6,1,7,6,2,5,2,1,2,2,2,1,2,2,2,1
"316",438851742,65,8,1,5,11,1,4,1,1,2,2,2,3,2,1,2,2
"317",439550268,38,5,1,3,13,1,7,2,1,2,2,2,1,3,2,2,2
"318",439701811,52,6,1,9,13,1,7,1,1,1,1,1,1,3,3,1,1
"319",437906843,40,5,1,7,11,2,99,2,2,2,2,2,1,2,2,2,2
"320",437911501,35,5,2,11,11,2,3,1,1,2,2,2,2,1,1,1,2
"321",437919675,38,5,1,7,11,1,99,2,2,1,1,2,2,1,2,3,2
"322",437926130,52,6,2,3,15,2,4,2,1,2,1,1,2,3,3,1,2
"323",437966380,48,6,1,8,15,1,5,2,1,2,1,1,1,3,1,3,1
"324",437966387,58,7,1,11,15,1,4,2,2,2,2,2,1,3,1,3,1
"325",437966399,47,6,1,5,15,1,4,2,1,2,1,1,1,3,1,3,1
"326",437975393,60,7,2,6,15,1,5,2,1,1,1,1,2,2,1,1,1
"327",438168384,66,8,1,3,NA,1,99,1,2,1,2,2,3,1,2,1,2
"328",438227948,53,6,2,5,11,1,7,2,1,3,1,1,1,3,1,3,1
"329",438282779,57,7,2,7,8,2,99,1,1,3,1,3,3,3,3,3,3
"330",438316565,58,7,2,7,NA,2,4,2,1,3,1,1,1,1,3,3,3
"331",438316584,53,6,1,7,11,2,99,2,1,2,2,2,3,1,2,3,2
"332",438322662,67,8,2,3,NA,1,9,2,1,3,1,2,1,1,3,3,1
